"season","first_name","last_name","position","origin","destination","transfer_date","rating","stars","eligibility"
2021,"Cameron","Wilkins","LB","Missouri","UTSA",2021-07-31,NA,3,"Immediate"
2021,"Javar","Strong","S","Arkansas State",NA,2021-07-28,NA,3,"Immediate"
2021,"Noah","Mitchell","LB","UTSA",NA,2021-07-27,NA,3,"Immediate"
2021,"Trivenskey","Mosley","RB","Southern Miss",NA,2021-07-26,NA,3,"TBD"
2021,"Jalar","Holley","DL","Miami",NA,2021-07-25,NA,3,"Immediate"
2021,"Davon","Wells-Ross","LB","Wyoming",NA,2021-07-23,NA,2,"Immediate"
2021,"Samari","Saddler","IOL","Eastern Michigan",NA,2021-07-23,NA,2,"Immediate"
2021,"Bennett","Johnston","QB","Southern Miss",NA,2021-07-22,NA,NA,"Immediate"
2021,"Lashawn","Paulino-Bell","EDGE","Vanderbilt",NA,2021-07-20,NA,3,"Immediate"
2021,"Chris","Lovick","RB","Tulsa",NA,2021-07-19,NA,2,"Immediate"
2021,"Kevin","Orange","RB","Missouri Western State","Kansas",2021-07-16,NA,NA,"Immediate"
2021,"Shaquan","Griffin","DL","Georgia Southern",NA,2021-07-15,NA,2,"Immediate"
2021,"Kevin","Tyler","OT","Illinois","Prairie View A&M",2021-07-15,NA,3,"Immediate"
2021,"Deonte","Williams","EDGE","Florida State",NA,2021-07-14,NA,3,"Immediate"
2021,"Mike","Wyman","WR","South Carolina",NA,2021-07-14,NA,4,"Immediate"
2021,"Jordan","Mitchell","EDGE","Georgia Southern","Texas State",2021-07-13,NA,3,"Immediate"
2021,"Cade","Fennegan","QB","Boise State",NA,2021-07-12,NA,2,"Immediate"
2021,"Robert","Wooten","EDGE","Virginia Tech","Texas Tech",2021-07-12,NA,3,"Immediate"
2021,"Nate","Howard","OT","South Alabama",NA,2021-07-09,NA,3,"Immediate"
2021,"Devan","Barrett","RB","Auburn",NA,2021-07-02,NA,4,"Immediate"
2021,"Tim","Glass","S","Liberty",NA,2021-07-01,NA,3,"Immediate"
2021,"Colby","Burton","CB","McNeese","Hawai'i",2021-07-01,NA,2,"Immediate"
2021,"DeAngelo","Wilson","WR","Austin Peay","Western Kentucky",2021-07-21,NA,2,"Immediate"
2021,"Ray","Thornton","OLB","LSU","Texas",2021-01-12,0.84,3,"TBD"
2021,"Devin","Aupiu","LB","Notre Dame","UCLA",2021-06-29,0.83,3,"Immediate"
2021,"Darel","Middleton","DL","Tennessee","West Virginia",2021-06-30,0.81,3,"Immediate"
2021,"Cody","Shear","IOL","Arizona State","Syracuse",2021-06-30,NA,3,"Immediate"
2021,"Gerald","Nathan Jr.","LB","Missouri","SE Louisiana",2021-06-29,NA,3,"Immediate"
2021,"Anthony","Shipton","DL","Illinois",NA,2021-06-29,NA,3,"Immediate"
2021,"James","Frenchie","WR","Illinois",NA,2021-06-29,NA,3,"Immediate"
2021,"Alec","Bryant","EDGE","Virginia Tech","Illinois",2021-07-12,NA,4,"PendingAppeal"
2021,"Stephon","Wright","DL","Arizona State","SMU",2021-07-29,NA,4,"Immediate"
2021,"Brevyn","Jones","OT","Illinois","Jacksonville State",2021-06-28,NA,3,"Immediate"
2021,"Blaise","Sparks","OT","Illinois","Delaware",2021-06-29,NA,3,"Immediate"
2021,"Anthony","Fieldings","CB","Georgia Southern",NA,2021-06-29,NA,3,"Immediate"
