"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"1",2021,"107494","Trey Sanders","RB","Alabama","SEC",0.057,0.406,0.023,0,0.038,0.449,0.013,0.327,4.472,2.844,1.628,-0.004,1.259,4.039,0.876,3.596,NA
"2",2021,"136429","Cedric Patterson III","WR","Rice","CUSA",0.812,0.834,0.494,1.234,0.554,0.596,0.859,0.77,38.996,37.515,1.482,20.986,6.089,11.921,19.754,19.242,NA
"3",2021,"241161","TJ Jones","RB","Western Carolina","",0.04,0.203,-0.124,-0.601,0.326,NA,-0.056,0.326,0.317,0.811,-0.495,-2.403,0.652,0,-0.335,0.652,NA
"4",2021,"501312","Justin Brown","WR","Southern Utah","",-0.536,-0.536,NA,-0.317,2.42,NA,-0.536,NA,-2.68,-2.68,0,-0.951,2.42,0,-2.68,0,NA
"5",2021,"3682406","Daniel Imatorbhebhe","TE","Kansas State","B12",1.088,1.088,NA,0.739,2.739,-0.441,1.149,1.019,16.322,16.322,0,4.434,10.954,-1.764,9.189,7.133,NA
"6",2021,"3707332","Dahu Green","WR","Arkansas State","SBC",0.471,0.471,NA,0.417,0.096,1.47,0.481,0.435,10.83,10.83,0,5.844,0.577,4.409,8.653,2.177,NA
"7",2021,"3895797","Tre Tipton","WR","Pittsburgh","ACC",0.366,0.366,NA,0.512,0.933,-0.638,0.617,-0.638,1.831,1.831,0,1.536,0.933,-0.638,2.469,-0.638,NA
"8",2021,"3908606","Bryce Jefferson","WR","Illinois State","",-0.245,-0.354,0.514,-0.306,-0.13,-0.239,-0.446,-0.178,-5.886,-7.426,1.541,-1.225,-1.426,-1.909,-2.678,-3.208,NA
"9",2021,"3915827","Jonathan Giles","WR","Texas Southern","",0.033,0.033,NA,-0.195,1.036,-0.418,0.368,-0.335,0.7,0.7,0,-1.559,2.072,-3.346,4.049,-3.349,NA
"10",2021,"3916389","Trey Smith","RB","Wyoming","MWC",0.303,0.856,0.253,0.543,-0.166,1.212,0.423,-0.057,3.639,0.856,2.784,3.257,-0.829,1.212,3.809,-0.17,NA
