"","athlete_id","first_name","last_name","team","season","post_ppa","years_in_college","prev_pass_yds","prev_pass_td","prev_avg_ppa","dest_off_ppa","dest_sp_offense","is_transfer"
"1",4035430,"Lindsey","Scott Jr.","Incarnate Word",2022,306.47,5,553,4,0.642,NA,NA,1
"2",4036473,"Logan","Bonner","Utah State",2022,20.107,5,3628,36,0.612,0.0500381484869721,25.4,0
"3",4037293,"Lucas","Johnson","Montana",2022,122.378,5,1424,12,0.619,NA,NA,1
"4",4239714,"Kyle","Vantrease","Georgia Southern",2022,203.56,5,1861,8,0.615,0.250389125656375,34.3,1
"5",4239937,"Matt","McDonald","Bowling Green",2022,131.31,5,2555,12,0.601,0.0979834457992821,23.8,0
"6",4239994,"Chase","Brice","App State",2022,147.534,5,3337,27,0.621,0.256119776297091,32.9,0
"7",4239998,"Hunter","Johnson","Clemson",2022,-1.372,4,424,4,0.6,0.175403077414514,34.9,1
"8",4240020,"James","Blackman","Arkansas State",2022,96.168,5,1334,8,0.592,0.0946888956308082,23.7,0
"9",4240069,"Malik","Cunningham","Louisville",2022,107.699,5,2941,19,0.62,0.160226508599088,27,0
"10",4240096,"Matthew","McKay","Elon",2022,112.328,5,200,2,0.679,NA,NA,1
"11",4240351,"Tyler","Vander Waal","Idaho State",2022,9.678,5,107,0,0.588,NA,NA,0
"12",4240391,"Tommy","DeVito","Illinois",2022,126.437,5,388,1,0.615,0.136911860688944,20.6,1
"13",4240570,"Peyton","Mansell","Abilene Christian",2022,2.321,5,37,0,0.143,NA,NA,0
"14",4240628,"N'Kosi","Perry","Florida Atlantic",2022,129.317,5,2771,20,0.609,0.195905800131821,24.4,0
"15",4240756,"Tanner","Morgan","Minnesota",2022,91.786,5,2044,10,0.598,0.239766278365144,23.5,0
"16",4240858,"Hendon","Hooker","Tennessee",2022,196.454,5,2945,31,0.682,0.369947078492188,47.3,0
"17",4240999,"Peyton","Derrick","The Citadel",2022,18.04,5,93,0,0.8,NA,NA,1
"18",4241193,"Taylor","Powell","Eastern Michigan",2022,101.43,5,1251,7,0.661,0.239951379836505,24,1
"19",4241222,"Charlie","Brewer","Liberty",2022,-0.175,5,484,3,0.608,0.130186582797591,24.1,1
"20",4241937,"Kasim","Hill","Rhode Island",2022,98.099,5,169,2,0.55,NA,NA,0
"21",4241965,"Rocky","Lombardi","Northern Illinois",2022,47.233,5,2597,15,0.583,0.182932793255222,25.3,0
"22",4242490,"Braxton","Burmeister","San Diego State",2022,-1.069,5,1960,14,0.557,0.110551057357733,15.1,1
"23",4242974,"Austin","Burton","Purdue",2022,2.963,5,44,0,0.714,0.127089303687986,31.6,0
"24",4243258,"Jason","Shelley","Missouri State",2022,122.873,5,235,1,0.523,0.239457160598093,NA,0
"25",4243276,"Todd","Centeio","James Madison",2022,179.053,5,2958,15,0.603,0.184100558194418,31.3,1
"26",4243322,"Jake","Haener","Fresno State",2022,133.326,5,4096,33,0.671,0.236358878420112,27.1,0
"27",4243535,"D.J.","Mack Jr.","Old Dominion",2022,4.457,5,859,5,0.515,0.103781343472073,16.9,0
"28",4243539,"Noah","Vedral","Rutgers",2022,1.964,5,1813,7,0.594,0.0174032416698342,16.4,0
"29",4244029,"Jarret","Doege","Troy",2022,21.454,5,3048,19,0.652,0.133448968222017,17.7,1
"30",4244804,"Preston","Hutchinson","Chattanooga",2022,146.086,5,216,1,0.575,NA,NA,1
"31",4245186,"Frank","Harris","UTSA",2022,274.747,5,3177,27,0.661,0.260052682604711,39.3,0
"32",4246097,"Jack","Chambers","NC State",2022,-1.968,5,460,2,0.538,0.119029741246313,20.4,1
"33",4247262,"Cole","Copeland","Chattanooga",2022,0.28,2,168,1,0.6,NA,NA,0
"34",4248104,"Nolan","Henderson","Delaware",2022,131.646,4,92,1,0.524,0.170902705555985,NA,0
"35",4248250,"Ryan","Glover","Memphis",2022,-0.919,2,94,0,0.379,0.196789704110722,37,1
"36",4248558,"Jason","Brown","Virginia Tech",2022,1.135,2,721,8,0.556,0.0704781648068012,13.5,1
"37",4249295,"Reece","Udinski","Richmond",2022,183.005,5,100,1,0.733,NA,NA,1
"38",4249609,"Shon","Mitchell","Central Connecticut",2022,13.555,5,37,0,0.444,NA,NA,0
"39",4249970,"Preston","Rice","Middle Tennessee",2022,-5.928,5,281,0,0.526,0.106451358875878,25.6,1
"40",4250842,"Kohen","Granier","Nicholls",2022,39.625,4,5,0,0.5,NA,NA,0
"41",4251245,"Glendon","McDaniel","Southern",2022,9.976,5,7,0,0.5,NA,NA,0
"42",4258191,"Dylan","McCaffrey","Northern Colorado",2022,51.749,5,236,1,0.571,NA,NA,0
"43",4259219,"Henry","Colombi","Marshall",2022,22.004,5,1291,5,0.642,0.0824167569650216,15.7,1
"44",4259269,"Chris","Reynolds","Charlotte",2022,109.614,5,2680,26,0.639,0.11171720414023,24,0
"45",4259269,"Chris","Reynolds","Charlotte",2022,109.614,5,2680,26,0.639,0.11171720414023,24,0
"46",4259553,"Stetson","Bennett","Georgia",2022,251.434,5,2862,29,0.645,0.358903557100175,37.2,0
"47",4259592,"Sean","Clifford","Penn State",2022,140.605,5,3107,21,0.61,0.218983954017988,36.6,0
"48",4260394,"Aidan","O'Connell","Purdue",2022,156.981,5,3712,28,0.716,0.127089303687986,31.6,0
"49",4262162,"Nate","Cox","Nevada",2022,65.874,2,279,2,0.605,0.0399636675282476,15.9,0
"50",4280496,"Jake","Dunniway","Sacramento State",2022,97.403,2,370,2,0.581,0.28954567028396,NA,0
"51",4291782,"Chase","Cunningham","Middle Tennessee",2022,127.992,5,1318,16,0.625,0.106451358875878,25.6,0
"52",4360056,"Ben","Bryant","Cincinnati",2022,132.94,5,3121,14,0.684,0.192628009635563,27.6,1
"53",4360131,"Holton","Ahlers","East Carolina",2022,205.103,5,3126,18,0.618,0.266084727428605,31.5,0
"54",4360163,"Austin","Aune","North Texas",2022,209.126,4,1991,9,0.512,0.226999152656347,31.3,0
"55",4360175,"Clayton","Tune","Houston",2022,290.001,5,3546,30,0.682,0.31370116004782,42.5,0
"56",4360230,"Emory","Jones","Arizona State",2022,45.867,5,2734,19,0.647,0.225732135979586,30.5,1
"57",4360271,"Tanner","Mordecai","SMU",2022,177.798,5,3628,39,0.678,0.243338862570269,42,0
"58",4360331,"Miles","Kendrick","New Mexico",2022,14.205,5,106,2,0.667,-0.0640232970010595,6,1
"59",4360403,"Gunnar","Holmberg","Florida International",2022,9.738,5,2358,7,0.67,0.0443115839812273,18.4,1
